Abounding_with.Depictive,Locative_relation.Direction,Locative_relation.Distance
Receiving.Purpose_of_donor,Getting.Purpose,Receiving_scenario.Purpose
Receiving.Recipient,Getting.Recipient,Receiving_scenario.Recipient
Receiving_scenario.Donor,Getting_scenario.Source
Receiving_scenario.Purpose,Getting_scenario.Purpose
Receiving_scenario.Recipient,Getting_scenario.Recipient
Receiving_scenario.Theme,Getting_scenario.Theme
Receiving.Theme,Getting.Theme,Receiving_scenario.Theme
Receiving.Time,Getting.Time
Recording.Agent,Statement.Speaker
Recording.Entity,Statement.Topic
Recording.Manner,Statement.Manner
Recording.Means,Statement.Means
Recording.Medium,Statement.Medium
Recording.Phenomenon,Statement.Message
Recording.Place,Statement.Place
Recording.Time,Statement.Time
Region_with_portal.Boundary,Bounded_region.Boundary
Region_with_portal.Exterior,Bounded_region.Exterior
Region_with_portal.Ground,Bounded_region.Ground
Region_with_portal.Interior,Bounded_region.Interior
Region_with_portal.Surface,Bounded_region.Surface
Rejuvenation.Agent,Transitive_action.Agent
Rejuvenation.Cause,Transitive_action.Cause
Rejuvenation.Entity,Transitive_action.Patient
Rejuvenation.Manner,Transitive_action.Manner
Rejuvenation.Means,Transitive_action.Means
Rejuvenation.Place,Transitive_action.Place
Rejuvenation.Time,Transitive_action.Time
Relating_concepts.Circumstances,Cognitive_connection.Circumstances
Relating_concepts.Concept_1,Cognitive_connection.Concept_1
Relating_concepts.Concept_2,Cognitive_connection.Concept_2
Relating_concepts.Concepts,Cognitive_connection.Concepts
Relating_concepts.Degree,Cognitive_connection.Degree
Relating_concepts.Point_of_view,Cognitive_connection.Point_of_view
Relating_concepts.Specification,Cognitive_connection.Specification
Relational_natural_features.Constituent_parts,Natural_features.Constituent_parts
Relational_natural_features.Container_possessor,Natural_features.Container_possessor
Relational_natural_features.Descriptor,Natural_features.Descriptor
Relational_natural_features.Focal_feature,Natural_features.Locale
Relational_natural_features.Formational_cause,Natural_features.Formational_cause
Relational_natural_features.Name,Natural_features.Name
Relational_natural_features.Relative_location,Natural_features.Relative_location
Relational_natural_features.Type,Natural_features.Type
Relational_political_locales.Constituent_parts,Political_locales.Constituent_parts
Relational_political_locales.Container_possessor,Political_locales.Container_possessor
Relational_political_locales.Descriptor,Political_locales.Descriptor
Relational_political_locales.Locale,Political_locales.Locale
Relational_political_locales.Name,Political_locales.Name
Relational_political_locales.Population,Political_locales.Population
Relational_political_locales.Relative_location,Political_locales.Relative_location
Relational_quantity.Degree,Quantity.Degree
Relational_quantity.Denoted_quantity,Quantity.Quantity
Relational_quantity.Individuals,Quantity.Individuals
Relational_quantity.Mass,Quantity.Mass
Relational_quantity.Q_Prop,Quantity.Q_Prop
Relation_between_individuals.Individual_1,Relation.Entity1
Relation_between_individuals.Individual_2,Relation.Entity2
Relation_between_individuals.Individuals,Relation.Entities
Relative_time.Focal_occasion,Relation.Entity1
Relative_time.Landmark_occasion,Relation.Entity2
Releasing.Agent,Intentionally_affect.Agent
Releasing_from_custody.Authorities,Releasing.Agent
Releasing_from_custody.Holding_location,Releasing.Location_of_confinement
Releasing_from_custody.Manner,Releasing.Manner
Releasing_from_custody.Means,Releasing.Means
Releasing_from_custody.Place,Releasing.Place
Releasing_from_custody.Purpose,Releasing.Purpose
Releasing_from_custody.Reason,Releasing.Reason
Releasing_from_custody.Suspect,Releasing.Theme
Releasing_from_custody.Time,Releasing.Time
Releasing.Manner,Intentionally_affect.Manner
Releasing.Means,Intentionally_affect.Means
Releasing.Place,Intentionally_affect.Place
Releasing.Purpose,Intentionally_affect.Purpose
Releasing.Reason,Intentionally_affect.Reason
Releasing.Theme,Intentionally_affect.Patient
Releasing.Time,Intentionally_affect.Time
Removing.Agent,Cause_motion.Agent,Transitive_action.Agent
Removing.Cause,Cause_motion.Cause,Transitive_action.Cause
Removing.Degree,Cause_motion.Degree
Removing.Depictive,Transitive_action.Depictive
Removing.Distance,Cause_motion.Distance
Removing.Goal,Cause_motion.Goal
Removing.Manner,Cause_motion.Manner,Transitive_action.Manner
Removing.Means,Cause_motion.Means,Transitive_action.Means
Removing.Path,Cause_motion.Path
Removing.Place,Transitive_action.Place
Removing.Result,Cause_motion.Result,Transitive_action.Result
Removing.Source,Cause_motion.Source
Removing.Theme,Cause_motion.Theme,Transitive_action.Patient
Removing.Time,Transitive_action.Time
Render_nonfunctional.Agent,Transitive_action.Agent
Render_nonfunctional.Artifact,Transitive_action.Patient
Render_nonfunctional.Cause,Transitive_action.Cause
Render_nonfunctional.Manner,Transitive_action.Manner
Render_nonfunctional.Means,Transitive_action.Means
Render_nonfunctional.Place,Transitive_action.Place
Render_nonfunctional.Time,Transitive_action.Time
Renting.Explanation,Commerce_buy.Reason
Renting.Goods,Commerce_buy.Goods
Renting.Lessee,Commerce_buy.Buyer
Renting.Lessor,Commerce_buy.Seller
Renting.Manner,Commerce_buy.Manner
Renting.Means,Commerce_buy.Means
Renting.Money,Commerce_buy.Money
Renting_out.Explanation,Commerce_sell.Reason
Renting_out.Goods,Commerce_sell.Goods
Renting_out.Lessee,Commerce_sell.Seller
Renting_out.Lessor,Commerce_sell.Buyer
Renting_out.Manner,Commerce_sell.Manner
Renting_out.Means,Commerce_sell.Means
Renting_out.Money,Commerce_sell.Money
Renting_out.Place,Commerce_sell.Place
Renting_out.Purpose,Commerce_sell.Purpose
Renting_out.Purpose_of_Goods,Commerce_sell.Purpose_of_Goods
Renting_out.Rate,Commerce_sell.Rate
Renting_out.Relay,Commerce_sell.Relay
Renting_out.Result,Commerce_sell.Result
Renting_out.Reversive,Commerce_sell.Reversive
Renting_out.Time,Commerce_sell.Time
Renting_out.Unit,Commerce_sell.Unit
Renting.Place,Commerce_buy.Place
Renting.Purpose,Commerce_buy.Purpose
Renting.Purpose_of_goods,Commerce_buy.Purpose_of_goods
Renting.Rate,Commerce_buy.Rate
Renting.Recipient,Commerce_buy.Recipient
Renting.Time,Commerce_buy.Time
Renting.Unit,Commerce_buy.Unit
Reparation.Benefiting_action,Intentionally_affect.Event
Reparation.Degree,Intentionally_affect.Degree
Reparation.Gift,Intentionally_affect.Instrument
Reparation.Injured_party,Intentionally_affect.Patient
Reparation.Manner,Intentionally_affect.Manner
Reparation.Means,Intentionally_affect.Means
Reparation.Place,Intentionally_affect.Place
Reparation.Purpose,Intentionally_affect.Purpose
Reparation.Time,Intentionally_affect.Time
Reparation.Wrongdoer,Intentionally_affect.Agent
Repel.Defender,Invasion_scenario.Attacked
Repel.Degree,Invasion_scenario.Degree
Repel.Enemy,Invasion_scenario.Invader
Repel.Instrument,Invasion_scenario.Instrument
Repel.Manner,Invasion_scenario.Manner
Repel.Means,Invasion_scenario.Means
Repel.Place,Invasion_scenario.Place
Repel.Purpose,Invasion_scenario.Purpose
Repel.Time,Invasion_scenario.Time
Replacing.Agent,Intentionally_affect.Agent
Replacing.Degree,Intentionally_affect.Degree
Replacing.Instrument,Intentionally_affect.Instrument
Replacing.Manner,Intentionally_affect.Manner
Replacing.Means,Intentionally_affect.Means
Replacing.New,Intentionally_affect.Patient
Replacing.Place,Intentionally_affect.Place
Replacing.Purpose,Intentionally_affect.Purpose
Replacing.Reason,Intentionally_affect.Reason
Replacing.Time,Intentionally_affect.Time
Research.Field,Scrutiny.Medium
Research.Manner,Scrutiny.Manner
Research.Means,Scrutiny.Means
Research.Population,Scrutiny.Ground
Research.Purpose,Scrutiny.Purpose
Research.Researcher,Scrutiny.Cognizer,Scrutiny.Instrument
Research.Time,Scrutiny.Time
Research.Topic,Scrutiny.Phenomenon
Reshaping.Deformer,Damaging.Agent
Reshaping.Degree,Damaging.Degree
Reshaping.Instrument,Damaging.Instrument
Reshaping.Manner,Damaging.Manner
Reshaping.Means,Damaging.Means
Reshaping.Place,Damaging.Place
Reshaping.Purpose,Damaging.Purpose
Reshaping.Reason,Damaging.Reason
Reshaping.Subregion,Damaging.Subregion
Reshaping.Time,Damaging.Time
Reshaping.Undergoer,Damaging.Patient
Resolve_problem.Agent,Intentionally_act.Agent
Resolve_problem.Frequency,Intentionally_act.Frequency
Resolve_problem.Manner,Intentionally_act.Manner
Resolve_problem.Means,Intentionally_act.Means
Resolve_problem.Place,Intentionally_act.Place
Resolve_problem.Purpose,Intentionally_act.Purpose
Resolve_problem.Time,Intentionally_act.Time
Response.Manner,Eventive_affecting.Manner
Response.Place,Eventive_affecting.Place
Response.Responding_entity,Eventive_affecting.Entity
Response.Time,Eventive_affecting.Time
Response.Trigger,Eventive_affecting.Event
Rest.Part,Part_whole.Part
Rest.Whole,Part_whole.Whole
Reveal_secret.Addressee,Statement.Addressee
Reveal_secret.Depictive,Statement.Depictive
Reveal_secret.Information,Statement.Message
Reveal_secret.Internal_cause,Statement.Internal_cause
Reveal_secret.Manner,Statement.Manner
Reveal_secret.Means,Statement.Means
Reveal_secret.Medium,Statement.Medium
Reveal_secret.Place,Statement.Place
Reveal_secret.Speaker,Statement.Speaker
Reveal_secret.Time,Statement.Time
Reveal_secret.Topic,Statement.Topic
Revenge.Avenger,Rewards_and_punishments.Agent
Revenge.Degree,Rewards_and_punishments.Degree
Revenge.Depictive,Rewards_and_punishments.Depictive
Revenge.Injury,Rewards_and_punishments.Reason
Revenge.Instrument,Rewards_and_punishments.Instrument
Revenge.Manner,Rewards_and_punishments.Manner
Revenge.Offender,Rewards_and_punishments.Evaluee
Revenge.Place,Rewards_and_punishments.Place
Revenge.Punishment,Rewards_and_punishments.Means,Rewards_and_punishments.Response_action
Revenge.Purpose,Rewards_and_punishments.Purpose
Revenge.Result,Rewards_and_punishments.Result
Revenge.Time,Rewards_and_punishments.Time
Rewards_and_punishments.Agent,Intentionally_affect.Agent
Rewards_and_punishments.Degree,Intentionally_affect.Degree
Rewards_and_punishments.Evaluee,Intentionally_affect.Patient
Rewards_and_punishments.Instrument,Intentionally_affect.Instrument
Rewards_and_punishments.Manner,Intentionally_affect.Manner
Rewards_and_punishments.Means,Intentionally_affect.Means
Rewards_and_punishments.Place,Intentionally_affect.Place
Rewards_and_punishments.Purpose,Intentionally_affect.Purpose
Rewards_and_punishments.Reason,Intentionally_affect.Reason
Rewards_and_punishments.Response_action,Intentionally_affect.Event
Rewards_and_punishments.Time,Intentionally_affect.Time
Rising_to_a_challenge.Activity,Meet_specifications.Standard
Rising_to_a_challenge.Degree,Meet_specifications.Degree
Rising_to_a_challenge.Manner,Meet_specifications.Manner
Rising_to_a_challenge.Means,Meet_specifications.Means
Rising_to_a_challenge.Protagonist,Meet_specifications.Agent,Meet_specifications.Entity,Meet_specifications.Event
Rising_to_a_challenge.Time,Meet_specifications.Time
Risky_situation.Degree,Gradable_attributes.Degree
Risky_situation.Situation,Gradable_attributes.Entity
Risky_situation.Time,Gradable_attributes.Time
Roadways.Characteristic,Locale_by_use.Descriptor
Roadways.Name,Locale_by_use.Name
Roadways.Part,Locale_by_use.Constituent_parts
Roadways.Relative_location,Locale_by_use.Relative_location
Roadways.Roadway,Locale_by_use.Locale
Roadways.Use,Locale_by_use.Use
Robbery.Frequency,Committing_crime.Frequency
Robbery.Manner,Committing_crime.Manner
Robbery.Means,Committing_crime.Instrument,Committing_crime.Means
Robbery.Perpetrator,Committing_crime.Perpetrator
Robbery.Place,Committing_crime.Place
Robbery.Purpose,Committing_crime.Purpose
Robbery.Reason,Committing_crime.Reason
Robbery.Time,Committing_crime.Time
Rope_manipulation.Agent,Manipulate_into_shape.Agent
Rope_manipulation.Instrument,Manipulate_into_shape.Instrument
Rope_manipulation.Location,Manipulate_into_shape.Location
Rope_manipulation.Manner,Manipulate_into_shape.Manner
Rope_manipulation.Means,Manipulate_into_shape.Means
Rope_manipulation.Place,Manipulate_into_shape.Place
Rope_manipulation.Purpose,Manipulate_into_shape.Purpose
Rope_manipulation.Reason,Manipulate_into_shape.Reason
Rope_manipulation.Rope,Manipulate_into_shape.Theme
Rope_manipulation.Time,Manipulate_into_shape.Time
Rotting.Duration,Event.Duration
Rotting.Frequency,Event.Frequency
Rotting.Manner,Event.Manner
Rotting.Place,Event.Place
Rotting.Reason,Event.Reason
Rotting.Time,Event.Time
Ruling_legally.Authority,Intentionally_act.Agent
Ruling_legally.Finding,Intentionally_act.Act
Ruling_legally.Manner,Intentionally_act.Manner
Ruling_legally.Means,Intentionally_act.Means
Ruling_legally.Place,Intentionally_act.Place
Ruling_legally.Purpose,Intentionally_act.Purpose
Ruling_legally.Time,Intentionally_act.Time
Run_risk.Bad_outcome,Likelihood.Hypothetical_event
Run_risk.Place,Likelihood.Place
Run_risk.Severity,Likelihood.Degree
Run_risk.Time,Likelihood.Time
Scarcity.Circumstances,Abundance.Circumstances
Scarcity.Collection,Abundance.Collection
Scarcity.Degree,Abundance.Degree
Scarcity.Measure,Abundance.Measure
Scarcity.Place,Abundance.Place
Scarcity.Quantity,Abundance.Quantity
Scarcity.Time,Abundance.Time
Scope.Attribute,Attributes.Attribute
Scope.Event,Attributes.Entity
Scouring.Degree,Scrutinizing_for.Degree
Scouring.Ground,Scrutinizing_for.Ground
Scouring.Instrument,Scrutinizing_for.Instrument
Scouring.Manner,Scrutinizing_for.Manner
Scouring.Means,Scrutinizing_for.Means
Scouring.Purpose,Scrutinizing_for.Purpose
Scouring.Searcher,Scrutinizing_for.Cognizer
Scouring.Sought_entity,Scrutinizing_for.Phenomenon
Scrutinizing_for.Cognizer,Scrutiny.Cognizer,Scrutiny.Medium
Scrutinizing_for.Degree,Scrutiny.Degree
Scrutinizing_for.Ground,Scrutiny.Ground
Scrutinizing_for.Instrument,Scrutiny.Instrument
Scrutinizing_for.Manner,Scrutiny.Manner
Scrutinizing_for.Means,Scrutiny.Means
Scrutinizing_for.Phenomenon,Scrutiny.Phenomenon
Scrutinizing_for.Purpose,Scrutiny.Purpose
Seeking.Cognizer_agent,Seeking_to_achieve.Agent
Seeking.Manner,Seeking_to_achieve.Manner
Seeking.Means,Seeking_to_achieve.Means
Seeking.Outcome,Seeking_to_achieve.Outcome
Seeking.Place,Seeking_to_achieve.Place
Seeking.Purpose,Seeking_to_achieve.Purpose
Seeking.Sought_entity,Seeking_to_achieve.Sought_entity
Seeking.Time,Seeking_to_achieve.Time
Seeking_to_achieve.Agent,Working_on.Agent
Seeking_to_achieve.Circumstances,Working_on.Circumstances
Seeking_to_achieve.Degree,Working_on.Degree
Seeking_to_achieve.Depictive,Working_on.Depictive
Seeking_to_achieve.Duration,Working_on.Duration
Seeking_to_achieve.Manner,Working_on.Manner
Seeking_to_achieve.Means,Working_on.Means
Seeking_to_achieve.Outcome,Working_on.Outcome
Seeking_to_achieve.Place,Working_on.Place
Seeking_to_achieve.Purpose,Working_on.Purpose
Seeking_to_achieve.Sought_entity,Working_on.Salient_entity
Seeking_to_achieve.State_of_affairs,Working_on.Goal
Seeking_to_achieve.Time,Working_on.Time
Self_motion.Area,Intentionally_act.Place,Motion.Area
Self_motion.Depictive,Motion.Depictive
Self_motion.Direction,Motion.Direction
Self_motion.Distance,Motion.Distance
Self_motion.Duration,Motion.Duration
Self_motion.Goal,Motion.Goal
Self_motion.Manner,Intentionally_act.Manner,Motion.Manner
Self_motion.Means,Intentionally_act.Means
Self_motion.Path,Motion.Path
Self_motion.Place,Intentionally_act.Place,Motion.Place
Self_motion.Purpose,Intentionally_act.Purpose,Motion.Purpose
Self_motion.Result,Motion.Result
Self_motion.Self_mover,Intentionally_act.Agent,Motion.Theme
Self_motion.Source,Motion.Source
Self_motion.Speed,Motion.Speed
Self_motion.Time,Intentionally_act.Time,Motion.Time
Sensation.Ground,Perception.Phenomenon
Sensation.Perceiver_passive,Perception.Perceiver
Sensation.Percept,Perception.Sought_entity
Sentencing.Court,Criminal_process.Court
Sentencing.Offense,Criminal_process.Offense
Sentencing.Place,Criminal_process.Place
Sentencing.Time,Criminal_process.Time
Sequence.Entities,Relation.Entities
Sequence.Entity1,Relation.Entity1
Sequence.Entity2,Relation.Entity2
Sequence.Relation_type,Relation.Relation_type
Set_relation.Manner,Inclusion_scenario.Manner
Set_relation.Place,Inclusion_scenario.Place
Set_relation.Subset,Inclusion_scenario.Part
Set_relation.Superset,Inclusion_scenario.Whole
Set_relation.Time,Inclusion_scenario.Time
Setting_fire.Cause,Transitive_action.Cause
Setting_fire.Depictive,Transitive_action.Depictive
Setting_fire.Flammables,Transitive_action.Patient
Setting_fire.Kindler,Transitive_action.Agent
Setting_fire.Manner,Transitive_action.Manner
Setting_fire.Means,Transitive_action.Means
Setting_fire.Place,Transitive_action.Place
Setting_fire.Time,Transitive_action.Time
Setting_out.Circumstances,Quitting_a_place.Circumstances
Setting_out.Consecutive,Quitting_a_place.Consecutive
Setting_out.Containing_event,Quitting_a_place.Containing_event
Setting_out.Coordinated_event,Quitting_a_place.Coordinated_event
Setting_out.Cotheme,Quitting_a_place.Co_participant,Travel.Co_participant
Setting_out.Depictive,Quitting_a_place.Depictive,Travel.Depictive
Setting_out.Direction,Quitting_a_place.Direction
Setting_out.Distance,Quitting_a_place.Distance,Travel.Distance
Setting_out.Duration_of_final_state,Quitting_a_place.Duration_of_final_state
Setting_out.Explanation,Quitting_a_place.Explanation,Travel.Reason
Setting_out.Frequency,Quitting_a_place.Frequency,Travel.Frequency
Setting_out.Intended_goal,Quitting_a_place.Intended_goal,Travel.Goal
Setting_out.Manner,Quitting_a_place.Manner,Travel.Manner
Setting_out.Means,Quitting_a_place.Means,Travel.Means
Setting_out.Path,Quitting_a_place.Path,Travel.Path
Setting_out.Path_shape,Quitting_a_place.Path_shape
Setting_out.Place,Quitting_a_place.Place,Travel.Place
Setting_out.Purpose,Quitting_a_place.Purpose,Travel.Purpose
Setting_out.Reciprocation,Quitting_a_place.Reciprocation
Setting_out.Re_encoding,Quitting_a_place.Re_encoding
Setting_out.Result,Quitting_a_place.Result,Travel.Result
Setting_out.Self_mover,Quitting_a_place.Self_mover,Travel.Traveler
Setting_out.Source,Quitting_a_place.Source,Travel.Source
Setting_out.Speed,Quitting_a_place.Speed,Travel.Speed
Setting_out.Time,Quitting_a_place.Time,Travel.Time
Setting_out.Vehicle,Quitting_a_place.Vehicle,Travel.Travel_means
Shaped_part.Orientation,Part_whole.Orientation
Shaped_part.Part,Part_whole.Part
Shaped_part.Part_Prop,Part_whole.Part_Prop
Shaped_part.Whole,Part_whole.Whole
Sharpness.Attribute,Gradable_attributes.Attribute
Sharpness.Circumstances,Gradable_attributes.Circumstances
Sharpness.Degree,Gradable_attributes.Degree
Sharpness.Entity,Gradable_attributes.Entity
Sharpness.Sharpness,Gradable_attributes.Value
Sharpness.Time,Gradable_attributes.Time
Shooting_scenario.Agent,Attempt_distant_interaction_scenario.Agent
Shooting_scenario.Degree,Attempt_distant_interaction_scenario.Degree
Shooting_scenario.Depictive,Attempt_distant_interaction_scenario.Depictive
Shooting_scenario.Firearm,Attempt_distant_interaction_scenario.Instrument
Shooting_scenario.Goal,Attempt_distant_interaction_scenario.Target_location
Shooting_scenario.Manner,Attempt_distant_interaction_scenario.Manner
Shooting_scenario.Means,Attempt_distant_interaction_scenario.Means
Shooting_scenario.Place,Attempt_distant_interaction_scenario.Place
Shooting_scenario.Purpose,Attempt_distant_interaction_scenario.Purpose
Shooting_scenario.Time,Attempt_distant_interaction_scenario.Time
Shoot_projectiles.Agent,Cause_motion.Agent,Cause_motion.Cause
Shoot_projectiles.Area,Cause_motion.Area
Shoot_projectiles.Degree,Cause_motion.Degree
Shoot_projectiles.Depictive,Cause_motion.Depictive
Shoot_projectiles.Distance,Cause_motion.Distance
Shoot_projectiles.Firearm,Cause_motion.Instrument
Shoot_projectiles.Goal,Cause_motion.Goal,Cause_motion.Result
Shoot_projectiles.Manner,Cause_motion.Manner
Shoot_projectiles.Means,Cause_motion.Means
Shoot_projectiles.Path,Cause_motion.Path
Shoot_projectiles.Place,Cause_motion.Place
Shoot_projectiles.Projectile,Cause_motion.Theme
Shoot_projectiles.Source,Cause_motion.Initial_State,Cause_motion.Source
Shoot_projectiles.Time,Cause_motion.Time
Shopping.Goods,Seeking.Sought_entity
Shopping.Ground,Seeking.Ground
Shopping.Manner,Seeking.Manner
Shopping.Means,Seeking.Means
Shopping.Outcome,Seeking.Outcome
Shopping.Place,Seeking.Place
Shopping.Purpose,Seeking.Purpose
Shopping.Shopper,Seeking.Cognizer_agent
Shopping.Time,Seeking.Time
Sign_agreement.Depictive,Text_creation.Depictive
Sign_agreement.Instrument,Text_creation.Instrument
Sign_agreement.Manner,Text_creation.Manner
Sign_agreement.Means,Text_creation.Means
Sign_agreement.Place,Text_creation.Place
Sign_agreement.Purpose,Text_creation.Purpose
Sign_agreement.Reason,Text_creation.Reason
Sign_agreement.Signatory,Text_creation.Author
Sign_agreement.Signature,Text_creation.Text
Sign_agreement.Time,Text_creation.Time
Silencing.Agent,Intentionally_affect.Agent
Silencing.Degree,Intentionally_affect.Degree
Silencing.Instrument,Intentionally_affect.Instrument
Silencing.Manner,Intentionally_affect.Manner
Silencing.Means,Intentionally_affect.Means
Silencing.Place,Intentionally_affect.Place
Silencing.Purpose,Intentionally_affect.Purpose
Silencing.Reason,Intentionally_affect.Reason
Silencing.Speaker,Intentionally_affect.Patient
Silencing.Time,Intentionally_affect.Time
Similarity.Degree,Gradable_attributes.Degree
Similarity.Entities,Gradable_attributes.Entity,Reciprocality.Protagonists
Similarity.Entity_1,Reciprocality.Protagonist_1
Similarity.Entity_2,Reciprocality.Protagonist_2
Similarity.Time,Gradable_attributes.Time
Simultaneity.Events,Relation.Entities
Simultaneity.Landmark_event,Relation.Entity2
Simultaneity.Profiled_event,Relation.Entity1
Sleep.Duration,Process_continue.Duration
Sleep.Manner,Process_continue.Manner
Sleep.Place,Process_continue.Place,Sleep_wake_cycle.Place
Sleep.Sleeper,Sleep_wake_cycle.Sleeper
Sleep.Time,Process_continue.Time
Smuggling.Constant_location,Bringing.Constant_location
Smuggling.Distance,Bringing.Distance
Smuggling.Event,Committing_crime.Crime
Smuggling.Frequency,Committing_crime.Frequency
Smuggling.Goal,Bringing.Goal
Smuggling.Goods,Bringing.Theme
Smuggling.Manner,Bringing.Manner,Committing_crime.Manner
Smuggling.Means,Bringing.Means,Committing_crime.Instrument,Committing_crime.Means
Smuggling.Path,Bringing.Path
Smuggling.Perpetrator,Bringing.Agent,Committing_crime.Perpetrator
Smuggling.Place,Bringing.Place,Committing_crime.Place
Smuggling.Purpose,Bringing.Purpose,Committing_crime.Purpose
Smuggling.Reason,Committing_crime.Reason
Smuggling.Source,Bringing.Source
Smuggling.Speed,Bringing.Speed
Smuggling.Time,Bringing.Time,Committing_crime.Time
Soaking.Agent,Intentionally_affect.Agent
Soaking.Manner,Intentionally_affect.Manner
Soaking.Means,Intentionally_affect.Means
Soaking.Place,Intentionally_affect.Place
Soaking.Purpose,Intentionally_affect.Purpose
Soaking.Theme,Intentionally_affect.Patient
Soaking.Time,Intentionally_affect.Time
Social_behavior_evaluation.Behavior,Gradable_attributes.Entity
Social_behavior_evaluation.Degree,Gradable_attributes.Degree
Social_connection.Individual1,Relation_between_individuals.Individual_1
Social_connection.Individual2,Relation_between_individuals.Individual_2
Social_connection.Individuals,Relation_between_individuals.Individuals
Social_event_collective.Attendees,Social_event.Attendee
Social_event_collective.Degree,Social_event.Degree
Social_event_collective.Duration,Social_event.Duration
Social_event_collective.Manner,Social_event.Manner
Social_event_collective.Place,Social_event.Place
Social_event_collective.Time,Social_event.Time
Social_event_individuals.Degree,Social_event.Degree
Social_event_individuals.Duration,Social_event.Duration
Social_event_individuals.Manner,Social_event.Manner
Social_event_individuals.Party_1,Social_event.Attendee
Social_event_individuals.Place,Social_event.Place
Social_event_individuals.Time,Social_event.Time
Social_interaction_evaluation.Behavior,Social_behavior_evaluation.Behavior
Social_interaction_evaluation.Degree,Social_behavior_evaluation.Degree
Social_interaction_evaluation.Evaluee,Social_behavior_evaluation.Individual
Social_interaction_evaluation.Judge,Social_behavior_evaluation.Judge
Socially_significant_history_scenario.Event,History_scenario.Event
Socially_significant_history_scenario.Place,History_scenario.Place
Socially_significant_history_scenario.Time,History_scenario.Time
Sound_level.Attribute,Measurable_attributes.Attribute
Sound_level.Circumstances,Measurable_attributes.Circumstances
Sound_level.Degree,Measurable_attributes.Degree
Sound_level.Entity,Measurable_attributes.Entity
Sound_level.Time,Measurable_attributes.Time
Sound_level.Volume,Measurable_attributes.Value
Speed.Attribute,Measurable_attributes.Attribute
Speed.Circumstances,Measurable_attributes.Circumstances
Speed.Degree,Measurable_attributes.Degree
Speed.Entity,Measurable_attributes.Entity
Speed.Speed,Measurable_attributes.Value
Speed.Time,Measurable_attributes.Time
State_of_entity.Entity,State.Entity
State_of_entity.State,State.State
Stinginess.Behavior,Social_interaction_evaluation.Behavior
Stinginess.Degree,Social_interaction_evaluation.Degree
Stinginess.Expressor,Social_interaction_evaluation.Expressor
Stinginess.Judge,Social_interaction_evaluation.Judge
Stinginess.Manner,Social_interaction_evaluation.Manner
Stinginess.Recipient,Social_interaction_evaluation.Affected_party
Stinginess.Resource,Social_interaction_evaluation.Topic
Stinginess.Resource_controller,Social_interaction_evaluation.Evaluee
Store.Descriptor,Aggregate.AggregateProperty
Store.Resource,Aggregate.Individuals
Store.Supply,Aggregate.Aggregate
Strictness.Agent,Social_interaction_evaluation.Evaluee
Strictness.Controllee,Social_interaction_evaluation.Affected_party
Strictness.Controlling_act,Social_interaction_evaluation.Behavior
Strictness.Degree,Social_interaction_evaluation.Degree
Strictness.Expressor,Social_interaction_evaluation.Expressor
Strictness.Issue,Social_interaction_evaluation.Topic
Strictness.Judge,Social_interaction_evaluation.Judge
Strictness.Manner,Social_interaction_evaluation.Manner
Suasion.Addressee,Eventive_cognizer_affecting.Cognizer
Suasion.Content,Eventive_cognizer_affecting.Content
Suasion.Degree,Eventive_cognizer_affecting.Degree
Suasion.Manner,Eventive_cognizer_affecting.Manner
Suasion.Text,Eventive_cognizer_affecting.Event
Suasion.Time,Eventive_cognizer_affecting.Time
Submitting_documents.Authority,Giving.Recipient
Submitting_documents.Documents,Giving.Theme
Submitting_documents.Explanation,Giving.Reason
Submitting_documents.Manner,Giving.Manner
Submitting_documents.Means,Giving.Means
Submitting_documents.Place,Giving.Place
Submitting_documents.Purpose,Giving.Purpose
Submitting_documents.Purpose_of_theme,Giving.Purpose_of_theme
Submitting_documents.Submittor,Giving.Donor
Submitting_documents.Time,Giving.Time
Substance.Constituents,Physical_entity.Constituents
Substance.Substance,Physical_entity.Entity
Substance.Type,Physical_entity.Type
Subversion.Activity,Thwarting.Action
Subversion.Agent,Thwarting.Protagonist
Subversion.Cause,Thwarting.Preventing_cause
Subversion.Degree,Thwarting.Degree
Subversion.Manner,Thwarting.Manner
Subversion.Place,Thwarting.Place
Subversion.Time,Thwarting.Time
Success_or_failure.Agent,Attempting_scenario.Agent
Success_or_failure.Goal,Attempting_scenario.Goal
Success_or_failure.Means,Attempting_scenario.Means
Sufficiency.Degree,Position_on_a_scale.Degree
Sufficiency.Item,Position_on_a_scale.Item
Sufficiency.Scale,Position_on_a_scale.Variable
Suitability.Degree,Gradable_attributes.Degree
Suitability.Evaluee,Gradable_attributes.Entity
Summarizing.Addressee,Communication.Addressee
Summarizing.Communicator,Communication.Communicator
Summarizing.Duration,Communication.Duration
Summarizing.Manner,Communication.Manner
Summarizing.Means,Communication.Means
Summarizing.Medium,Communication.Medium
Summarizing.State_of_affairs,Communication.Topic
Summarizing.Summary,Communication.Message
Summarizing.Time,Communication.Time
Supply.Circumstances,Giving.Circumstances
Supply.Manner,Giving.Manner
Supply.Means,Giving.Means
Supply.Place,Giving.Place
Supply.Purpose,Giving.Purpose
Supply.Purpose_of_recipient,Giving.Purpose_of_theme
Supply.Reason,Giving.Reason
Supply.Recipient,Giving.Recipient
Supply.Supplier,Giving.Donor
Supply.Theme,Giving.Theme
